HENRIKSDAL,"Chair, brown-black, Gräsbo white",991.842.84,IKEA of Sweden,http://www.ikea.com/PIAimages/0462846_PE608351_S3.JPG
HENRIKSDAL,"Chair, brown, Linneryd natural",898.742.20,IKEA of Sweden,http://www.ikea.com/PIAimages/0108326_PE258057_S3.JPG
HENRIKSDAL,"Chair, birch, Finnsta turquoise",991.842.55,IKEA of Sweden,http://www.ikea.com/PIAimages/0462840_PE608341_S3.JPG
HENRIKSDAL,"Chair, white, Nolhaga gray-beige",691.001.63,IKEA of Sweden,http://www.ikea.com/PIAimages/0340768_PE530575_S3.JPG
NORRARYD,"Chair, black",402.808.43,Designer Nike Karlsson,http://www.ikea.com/PIAimages/0418685_PE575722_S3.JPG
HENRIKSDAL,"Chair, brown-black, Glose black",503.096.81,Karl Malmvall,http://www.ikea.com/PIAimages/0105965_PE253735_S3.JPG
HENRIKSDAL,"Chair, oak, Gräsbo white",091.842.88,IKEA of Sweden,http://www.ikea.com/PIAimages/0462848_PE608353_S3.JPG
HENRIKSDAL,"Chair with long cover, birch, Blekinge white",098.621.79,IKEA of Sweden,http://www.ikea.com/PIAimages/0095278_PE233755_S3.JPG
INGOLF,"Chair, brown-black",602.178.22,Carina Bengs,http://www.ikea.com/PIAimages/0355482_PE547815_S3.JPG
INGOLF,"Chair, antique stain",002.178.20,Carina Bengs,http://www.ikea.com/PIAimages/0238365_PE377893_S3.JPG
INGOLF,"Chair, white",701.032.50,Carina Bengs,http://www.ikea.com/PIAimages/0454095_PE602593_S3.JPG
IVAR,"Chair, pine",902.639.02,IKEA of Sweden,http://www.ikea.com/PIAimages/0286591_PE423177_S3.JPG
BÖRJE,"Chair, brown-black, Gobo white",901.168.50,IKEA of Sweden,http://www.ikea.com/PIAimages/73963_PE190725_S3.JPG
BÖRJE,"Chair, brown, Gobo white",601.822.81,IKEA of Sweden,http://www.ikea.com/PIAimages/0121732_PE278342_S3.JPG
BÖRJE,"Chair, birch, Gobo white",301.162.02,IKEA of Sweden,http://www.ikea.com/PIAimages/73957_PE190723_S3.JPG
BÖRJE,"Chair, white, Kungsvik sand",302.115.34,IKEA of Sweden,http://www.ikea.com/PIAimages/0133759_PE289236_S3.JPG
LERHAMN,"Chair, black-brown, Vittaryd beige",802.686.41,Nike Karlsson,http://www.ikea.com/PIAimages/0238233_PE377690_S3.JPG
LERHAMN,"Chair, light antique stain, Vittaryd beige",202.686.39,Nike Karlsson,http://www.ikea.com/PIAimages/0238235_PE377688_S3.JPG
KAUSTBY,"Chair, brown-black",102.428.38,IKEA of Sweden,http://www.ikea.com/PIAimages/0173549_PE327684_S3.JPG
KAUSTBY,"Chair, antique stain",202.457.56,IKEA of Sweden,http://www.ikea.com/PIAimages/0173544_PE327678_S3.JPG
NORRNÄS,"Chair, black, Isunda gray",101.774.99,Designer Mikael Warnhammar,http://www.ikea.com/PIAimages/0105947_PE253719_S3.JPG
NORRNÄS,"Chair, birch, Isunda gray",001.775.03,Designer Mikael Warnhammar,http://www.ikea.com/PIAimages/0105946_PE253718_S3.JPG
NORRNÄS,"Chair, white, Isunda gray",601.853.07,Designer Mikael Warnhammar,http://www.ikea.com/PIAimages/0105949_PE253721_S3.JPG
STEFAN,"Chair, brown-black",002.110.88,IKEA of Sweden,http://www.ikea.com/PIAimages/0122106_PE278491_S3.JPG
NORRÅKER,"Chair, white birch",402.753.42,J Karlsson/N Karlsson,http://www.ikea.com/PIAimages/0372971_PE552171_S3.JPG
NORRÅKER,"Chair, black",003.015.26,J Karlsson/N Karlsson,http://www.ikea.com/PIAimages/0440364_PE592358_S3.JPG
GAMLEBY,"Chair, light antique stain, gray",602.470.51,Nike Karlsson,http://www.ikea.com/PIAimages/0292758_PE425389_S3.JPG
IKEA PS 2012,"Armchair, black",702.068.04,Designer Marcus Arvonen,http://www.ikea.com/PIAimages/0154688_PE312833_S3.JPG
IDOLF,"Chair, black",802.251.66,Ola Wihlborg,http://www.ikea.com/PIAimages/0207587_PE361529_S3.JPG
